Designator,Footprint,Quantity,Value,LCSC Part #
"ANT1, ANT2",ANT-SMD_L3.2-W1.6-KH-3216F245C04,2,KH-3216-H0209,
"BOOT1, BOOT2, PB1, PB2, PB3, PB4, PB5, RST2, RST3",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,9,"Tactile Button, 160gf",C318884
BT1,BATTERY-SMD_18650-1S-L77.1-W20.7-1,1,BH-18650-B1BA002,C2988620
C1,C_0805,1,4.7uF,C1779
"C10, C9",C_0402,2,20pF,C1554
"C100, C101, C11, C13, C19, C20, C21, C24, C25, C27, C28, C29, C30, C31, C32, C35, C37, C38, C41, C44, C46, C49, C5, C55, C56, C57, C58, C68, C69, C70, C71, C72",C_0603,32,100nF,C14663
"C102, C14, C74, C8",C_0402,4,10uF,C15525
"C12, C15, C98, C99",C_0402,4,3.3pF,C1565
"C16, C17, C18, C23, C26, C42, C43, C48",C_0603,8,1uF,C15849
C2,C_0402,1,1nF,C1523
C22,C_0402,1,15pF,C1548
"C3, C33, C34, C4, C6, C7",C_0402,6,10pF,C32949
"C36, C54",C_0805,2,10uF,C440198
C39,C_0402,1,10nF,C15195
C40,C_0603,1,4.7uF,C19666
"C45, C47",C_0402,2,100pF,C1546
"C50, C51",C_0603,2,6.8nF,C1631
"C52, C53",C_0603,2,220nF,C21120
"C59, C60, C62, C63",C_0805,4,100nF,C28233
C61,C_0805,1,10uF,C15850
C64,C_0805,1,22uF,C45783
C65,C_1206,1,1nF,C9196
"C66, C67",C_0402,2,220pF,C1530
"C73, C88, C90, C91, C92, C93, C94",C_0402,7,1uF,C52923
"C75, C76, C77, C78, C95, C97",C_0603,6,22uF,C59461
"C79, C80, C81, C82, C83, C84, C85, C86, C87, C96",C_0402,10,2.2uF,C12530
C89,C_0402,1,4.7uF,C23733
CARD1,TF-PUSH-SD-CARD_C393941,1,TF PUSH,C393941
CN1,SMD_3.5mm_Audio_Connectors_(Headphones)_C707223,1,PJ-316C-6A,C707223
"D1, D11, D2",D_SOD-123,3,1N4148W,C81598
D10,D_0603,1,Red,C2286
D12,D_0603,1,White,C2290
"D13, D16, D17, D18",IR-LED_C131280,4,IR,C131280
"D14, D3",D_0805,2,Yellow,C2296
"D15, D4, D8",D_0805,3,Green,C2297
"D5, D6",MB6S-C82584,2,MB6S,C82584
D7,D_SMA,1,SMAJ58A,C19077554
D9,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,1,WS2812B,C5349954
DISP1,3x7-seg_LED-RED_C2913084,1,SLS0563DRA1GD,C2913084
FPC1,OV2640_connector_AFC01-S24FCC-00,1,AFC01-S24FCC-00,C262276
"J1, J2",TYPE-C-SMD_HX-TYPE-C-16PIN,2,"Connector, USB-TYPE-C-16P",C2927039
J9,HC-RJ45-055-4_C3000211,1,HC-RJ45-055-4_8P8C_Shielded,C3000211
"JP1, JP2",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,2,Jumper_2_Small_Bridged,
L1,L_Wurth_WE-LQSH-4020,1,2.2uH,
"L10, L11, L2, L3",0603,4,2nH,
L4,L_0402,1,"3.9nH,300mA",C14033
"L5, L6, L7, L8, L9",1008,5,"1uH,3.3A",C435392
NTC1,R_0402,1,NTC,C3018545 
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",Q_SOT-23,8,AO3401A,C15127
"R1, R2, R3",R_0402,3,22Ω,C25092
"R10, R11, R12, R13",R_0402,4,33Ω,C25105
"R14, R42, R54, R55, R56, R79, R8, R82",R_0402,8,10MΩ,C26082
"R15, R20, R43, R47, R57, R58, R63, R77, R80, R83",R_0402,10,1MΩ,C26083
"R16, R17, R18, R19, R28, R30, R31, R38, R39, R50, R51, R52, R53, R64, R65, R66, R67, R69, R70, R73, R75, R78, R81, R84",R_0402,24,10kΩ,C25744
R21,R_0402,1,0Ω,C17168
"R22, R23, R24, R25, R26, R27",R_0603,6,20Ω,C22950
"R29, R32, R36",R_0603,3,12kΩ,C22790
"R33, R37, R68, R71, R72, R9",R_0402,6,100kΩ,C25741
"R34, R35",R_0402,2,680Ω,C25130
"R4, R5, R6, R7",R_0402,4,5.1kΩ,C25905
"R40, R41",R_0805,2,100kΩ,C149504
"R44, R45, R46",R_0603,3,47Ω,C23182
"R48, R49",R_0603,2,82Ω,C23255
"R59, R60, R61, R62",R_0603,4,75Ω,C4275
"R74, R76",R_0402,2,220kΩ,C25767
T1,H1102NLT_C18584,1,H1102NLT,C18584
"TST-R1, TST-R10, TST-R11, TST-R12, TST-R13, TST-R14, TST-R15, TST-R16, TST-R17, TST-R18, TST-R19, TST-R2, TST-R20, TST-R21, TST-R22, TST-R23, TST-R24, TST-R25, TST-R26, TST-R27, TST-R28, TST-R29, TST-R3, TST-R30, TST-R31, TST-R32, TST-R33, TST-R4, TST-R5, TST-R6, TST-R7, TST-R8, TST-R9",R_0603,33,0Ω,C21189
U1,SOT-23-5,1,TLV62568DBVR,
"U10, U13",SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,2,W25Q128JVSIQ,
U11,digital tube drivers_c2962580,1,TM1637,C2962580
U12,DS18B20_C695836,1,DS18B20U(UMW),C695836
U14,DP9900M_C5380106,1,DP9900M-5V,
U15,MAX98357AETE+T_C910544,1,MAX98357AETE+T,
"U16, U17",ICS-43434_C5656610,2,ICS-43434,C5656610
U18,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm_ThermalVias,1,AXP2101,C3036461
U2,Current-sensor_MT9221CT-06BR5_C879632,1,MT9221CT-06BR5,C879632
"U3, U4",SOT-23-6,2,USBLC6-2SC6,
U5,SOT-23-3,1,XC6206-1.5NR,C2984869
U6,SOT-23-3,1,XC6206-2.8V,C41424780
"U7, U8",QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias,2,ESP32-S3,C2913194 
U9,LQFP-48_7x7mm_P0.5mm,1,W5500,
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006
"Y1, Y2",OSC-SMD_4P-L3.2-W2.5-BL_SIT8008BI,2,"40MHz, 15pF",C9010
Y3,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,
