Designator,Mid X,Mid Y,Rotation,Layer
ANT1,45.974,-33.655,180.0,top
ANT2,46.175,-158.115,180.0,top
BOOT1,50.165,-74.93,0.0,top
BOOT2,53.34,-133.35,0.0,top
BT1,147.066,-75.565,180.0,top
C1,131.125,-114.173,0.0,top
C10,72.41,-140.18,180.0,top
C100,76.835,-122.555,0.0,bottom
C101,78.74,-116.205,0.0,bottom
C102,78.74,-117.475,180.0,bottom
C11,84.1248,-84.5312,270.0,top
C12,46.99,-41.275,180.0,top
C13,83.6676,-80.7212,180.0,bottom
C14,84.1756,-81.8388,0.0,bottom
C15,46.99,-36.195,180.0,top
C16,100.101,-57.177,0.0,top
C17,93.345,-63.5,90.0,top
C18,93.345,-58.42,90.0,top
C19,92.075,-63.5,270.0,top
C2,131.875,-115.923,180.0,top
C20,92.075,-58.42,270.0,top
C21,90.805,-66.04,180.0,top
C22,89.535,-62.23,90.0,top
C23,77.47,-90.17,0.0,bottom
C24,80.01,-87.63,270.0,bottom
C25,80.01,-92.71,90.0,bottom
C26,69.85,-127.635,0.0,bottom
C27,77.47,-87.63,180.0,bottom
C28,72.39,-125.095,270.0,bottom
C29,72.39,-130.175,90.0,bottom
C3,75.565,-82.55,270.0,bottom
C30,77.47,-88.9,180.0,bottom
C31,69.85,-125.095,180.0,bottom
C32,69.85,-126.365,180.0,bottom
C33,101.6,-119.04,0.0,top
C34,104.775,-121.92,180.0,top
C35,117.475,-120.015,180.0,bottom
C36,117.475,-125.73,180.0,bottom
C37,117.475,-123.825,180.0,bottom
C38,61.595,-95.885,270.0,top
C39,101.6,-124.46,180.0,top
C4,67.945,-120.015,270.0,bottom
C40,114.935,-124.605,270.0,bottom
C41,93.599,-137.795,270.0,bottom
C42,91.694,-137.795,90.0,bottom
C43,107.421,-40.79,270.0,top
C44,107.569,-43.29,0.0,top
C45,97.421,-35.79,0.0,top
C46,99.07,-101.065,180.0,top
C47,104.671,-39.79,270.0,top
C48,99.07,-102.565,0.0,top
C49,91.44,-154.305,0.0,top
C5,131.875,-117.923,90.0,top
C50,129.2815,-128.707,0.0,top
C51,129.2815,-131.707,0.0,top
C52,129.2815,-137.707,0.0,top
C53,129.2815,-130.207,0.0,top
C54,59.98,-118.61,270.0,top
C55,58.23,-118.61,270.0,top
C56,67.945,-87.63,180.0,top
C57,58.42,-129.54,0.0,top
C58,100.4695,-151.13,270.0,bottom
C59,144.145,-143.51,90.0,top
C6,80.645,-82.55,90.0,bottom
C60,147.32,-143.51,180.0,top
C61,128.905,-146.685,0.0,bottom
C62,147.2815,-120.707,180.0,bottom
C63,143.7815,-121.207,90.0,bottom
C64,128.905,-144.145,0.0,bottom
C65,139.7,-140.97,0.0,top
C66,55.98,-117.86,270.0,bottom
C67,55.98,-119.86,270.0,bottom
C68,132.5315,-137.707,180.0,top
C69,88.265,-77.343,0.0,top
C7,73.025,-120.015,90.0,bottom
C70,144.145,-83.185,180.0,bottom
C71,64.008,-90.043,90.0,top
C72,50.8,-129.54,180.0,top
C73,116.459,-96.647,0.0,top
C74,118.237,-92.456,90.0,top
C75,111.7265,-97.409,90.0,top
C76,111.7265,-100.33,270.0,top
C77,133.477,-97.282,90.0,top
C78,133.4765,-100.203,270.0,top
C79,123.19,-104.775,90.0,top
C8,132.875,-109.173,180.0,bottom
C80,123.19,-106.68,180.0,top
C81,121.92,-104.775,90.0,top
C82,124.46,-104.775,90.0,top
C83,125.73,-104.775,90.0,top
C84,119.38,-104.775,90.0,top
C85,120.65,-106.68,0.0,top
C86,118.237,-101.219,90.0,top
C87,118.11,-104.775,90.0,top
C88,116.4765,-98.744,0.0,top
C89,119.253,-92.456,270.0,top
C9,72.41,-136.68,180.0,top
C90,125.984,-96.52,270.0,bottom
C91,120.269,-92.456,270.0,top
C92,120.65,-104.775,90.0,top
C93,116.4765,-97.744,0.0,top
C94,127.6265,-98.394,180.0,top
C95,125.2765,-91.999,270.0,top
C96,128.4765,-89.994,180.0,top
C97,124.2265,-89.744,180.0,top
C98,48.125,-151.765,0.0,top
C99,48.125,-156.21,0.0,top
CARD1,49.8465,-97.536,270.0,top
CN1,48.0535,-118.11,180.0,top
D1,147.32,-150.495,270.0,bottom
D10,130.875,-107.673,180.0,top
D11,132.086,-146.098,90.0,bottom
D12,85.09,-147.32,180.0,top
D13,85.09,-152.4,180.0,top
D14,114.681,-94.234,180.0,top
D15,131.5365,-94.244,0.0,top
D16,97.155,-128.905,90.0,top
D17,97.155,-122.555,90.0,top
D18,97.155,-116.205,90.0,top
D2,111.379,-150.368,270.0,bottom
D3,102.235,-114.935,0.0,top
D4,102.235,-117.54,0.0,top
D5,120.015,-153.035,0.0,bottom
D6,130.81,-153.035,0.0,bottom
D7,127.0,-157.48,180.0,bottom
D8,127.875,-117.673,90.0,top
D9,97.9295,-150.495,180.0,bottom
DISP1,97.409,-43.265,0.0,bottom
FPC1,81.036,-64.97,90.0,bottom
J1,144.145,-156.995,0.0,bottom
J2,108.585,-156.995,0.0,bottom
J9,144.343,-132.20675,90.0,top
L1,131.125,-110.923,180.0,top
L10,47.625,-154.065,270.0,top
L11,76.2,-118.745,90.0,bottom
L2,85.9028,-83.2726,90.0,bottom
L3,47.371,-38.735,90.0,top
L4,118.11,-122.055,90.0,bottom
L5,113.7265,-97.934,270.0,top
L6,113.7265,-101.854,270.0,top
L7,131.4765,-97.434,270.0,top
L8,131.4765,-101.346,270.0,top
L9,122.7265,-92.244,180.0,top
NTC1,128.016,-95.25,0.0,bottom
PB1,69.206,-39.37,0.0,bottom
PB2,125.086,-39.37,0.0,bottom
PB3,128.905,-85.598,90.0,top
PB4,69.111,-48.25,0.0,bottom
PB5,125.111,-48.25,0.0,bottom
Q1,100.33,-59.69,90.0,top
Q2,56.515,-148.59,0.0,top
Q3,77.47,-147.32,0.0,top
Q4,77.47,-152.4,0.0,top
Q5,77.47,-157.48,0.0,top
Q6,92.71,-127.635,0.0,top
Q7,92.71,-121.285,0.0,top
Q8,92.71,-114.935,0.0,top
R1,78.105,-85.09,180.0,bottom
R10,143.51,-151.765,90.0,bottom
R11,144.78,-151.765,90.0,bottom
R12,107.823,-151.9,90.0,bottom
R13,108.839,-151.9,90.0,bottom
R14,101.601,-62.237,180.0,top
R15,99.601,-62.237,180.0,top
R16,90.17,-69.85,180.0,top
R17,90.17,-68.58,180.0,top
R18,90.17,-67.31,180.0,top
R19,70.35,-68.58,180.0,top
R2,70.485,-122.555,180.0,bottom
R20,99.06,-121.92,270.0,top
R21,104.775,-123.19,0.0,top
R22,106.045,-127.0,0.0,top
R23,106.045,-128.27,0.0,top
R24,106.045,-129.54,0.0,top
R25,106.045,-130.81,0.0,top
R26,106.045,-132.08,0.0,top
R27,106.045,-133.35,0.0,top
R28,113.665,-125.095,270.0,bottom
R29,58.42,-97.79,270.0,top
R3,127.635,-111.76,90.0,bottom
R30,59.6965,-97.155,270.0,top
R31,59.69,-95.25,90.0,top
R32,58.42,-94.615,90.0,top
R33,92.71,-139.954,0.0,bottom
R34,105.41,-114.935,180.0,top
R35,104.775,-120.015,180.0,top
R36,122.51,-124.79,270.0,top
R37,99.07,-103.815,180.0,top
R38,105.671,-42.04,270.0,top
R39,104.671,-42.04,270.0,top
R4,146.7743,-156.581,0.0,top
R40,63.755,-112.61,270.0,bottom
R41,63.73,-112.64,90.0,top
R42,53.705,-148.59,90.0,top
R43,61.98,-118.86,0.0,bottom
R44,116.586,-128.651,0.0,bottom
R45,126.492,-135.382,90.0,top
R46,116.586,-127.381,0.0,bottom
R47,53.705,-146.685,90.0,top
R48,131.7815,-128.707,270.0,top
R49,131.7815,-131.707,90.0,top
R5,141.4403,-156.581,180.0,top
R50,129.375,-117.653,270.0,top
R51,65.445,-87.63,180.0,top
R52,60.92,-129.54,0.0,top
R53,130.875,-106.423,0.0,top
R54,74.93,-147.32,90.0,top
R55,74.93,-152.4,90.0,top
R56,74.93,-157.475,90.0,top
R57,74.93,-145.415,90.0,top
R58,74.93,-150.495,90.0,top
R59,134.7815,-135.207,90.0,top
R6,111.125,-156.591,0.0,top
R60,136.0315,-135.207,90.0,top
R61,135.7815,-139.207,180.0,top
R62,135.7815,-137.707,180.0,top
R63,74.93,-155.575,90.0,top
