Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,ANT-SMD_L3.2-W1.6-KH-3216F245C04,1,KH-3216-H0209,
"BOOT1, PB1, PB2, PB3, PB4, PB5, RST1",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,7,"Tactile Button, 160gf",C318884
BT1,BATTERY-SMD_18650-1S-L77.1-W20.7-1,1,BH-18650-B1BA002,C2988620
C1,C_0402,1,1nF,C1523
"C10, C11",C_0402,2,3.3pF,C1565
"C12, C21, C3, C35, C36, C37, C38, C39, C40, C52, C54, C55, C56, C57, C8, C9",C_0603,16,100nF,C14663
"C13, C44",C_0402,2,10uF,C15525
"C14, C15",C_0402,2,100pF,C1546
C16,C_0805,1,10uF,C440198
"C17, C18, C20, C22, C43, C50, C51",C_0402,7,1uF,C52923
C19,C_0402,1,4.7uF,C23733
"C2, C4",C_0402,2,10pF,C32949
"C23, C24, C45, C46, C47, C48",C_0603,6,22uF,C59461
"C25, C26, C27, C28, C29, C30, C31, C32, C33, C49",C_0402,10,2.2uF,C12530
"C34, C53, C7",C_0603,3,1uF,C15849
"C41, C42",C_0402,2,220pF,C1530
"C5, C6",C_0402,2,20pF,C1554
CN1,SMD_3.5mm_Audio_Connectors_(Headphones)_C707223,1,PJ-316C-6A,C707223
D1,D_SOD-123,1,1N4148W,C81598
D2,D_0805,1,Yellow,C2296
D3,D_0805,1,Green,C2297
"D4, D5, D6, D9",IR-LED_C131280,4,IR,C131280
D7,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,1,WS2812B,C5349954
D8,D_0603,1,White,C2290
DISP1,3x7-seg_LED-RED_C2913084,1,SLS0563DRA1GD,C2913084
J1,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
"J10, J11, J17, J18, J19, J4, J5, J6, J7, J8, J9",PinHeader_1x02_P1.00mm_Vertical,11,Conn_01x02,
"J12, J13, J14, J15, J16",PinHeader_1x03_P2.54mm_Vertical,5,Conn_01x03,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
"L1, L2",0603,2,2nH,
"L3, L4, L5, L6, L7",1008,5,"1uH,3.3A",C435392
NTC1,R_0402,1,NTC,C3018545 
"Q1, Q2, Q3, Q4, Q5, Q6, Q7",Q_SOT-23,7,AO3401A,C15127
R1,R_0402,1,22Ω,C25092
"R10, R15",R_0402,2,100kΩ,C25741
"R11, R13, R14, R22, R23, R24, R27, R34, R35, R8, R9",R_0402,11,10kΩ,C25744
"R12, R19, R20, R21, R26, R31, R32, R33",R_0402,8,1MΩ,C26083
"R16, R17, R18, R25, R28, R29, R30",R_0402,7,10MΩ,C26082
"R2, R3",R_0402,2,5.1kΩ,C25905
"R4, R5",R_0402,2,33Ω,C25105
"R6, R7",R_0805,2,100kΩ,C149504
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP26, TP3, TP31, TP36, TP37, TP38, TP39, TP4, TP40, TP41, TP42, TP43, TP44, TP49, TP5, TP50, TP51, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,34,TestPoint,
"TP21, TP22, TP23, TP24, TP25, TP27, TP28, TP29, TP30, TP32, TP33, TP34, TP35, TP45, TP46, TP47, TP48",PinHeader_1x01_P1.00mm_Vertical,17,TestPoint,
"TST-R1, TST-R10, TST-R11, TST-R12, TST-R13, TST-R14, TST-R15, TST-R16, TST-R17, TST-R18, TST-R19, TST-R2, TST-R20, TST-R21, TST-R22, TST-R3, TST-R4, TST-R5, TST-R6, TST-R7, TST-R8, TST-R9",R_0603,22,0Ω,C21189
U1,Current-sensor_MT9221CT-06BR5_C879632,1,MT9221CT-06BR5,C879632
U10,DS18B20_C695836,1,DS18B20U(UMW),C695836
U2,SOT-23-6,1,USBLC6-2SC6,
U3,digital tube drivers_c2962580,1,TM1637,C2962580
U4,MAX98357AETE+T_C910544,1,MAX98357AETE+T,
"U5, U6",ICS-43434_C5656610,2,ICS-43434,C5656610
U7,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias,1,ESP32-S3,C2913194 
U8,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm_ThermalVias,1,AXP2101,C3036461
U9,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQ,
Y1,OSC-SMD_4P-L3.2-W2.5-BL_SIT8008BI,1,"40MHz, 15pF",C9010
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,
