Designator,Mid X,Mid Y,Rotation,Layer
ANT1,127.508,-125.984,0.0,top
BOOT1,118.11,-129.54,0.0,top
BT1,78.486,-138.303,270.0,bottom
C1,94.996,-159.385,270.0,top
C10,122.936,-130.81,270.0,top
C11,127.381,-130.81,270.0,top
C12,118.364,-145.288,180.0,top
C13,115.824,-145.455,180.0,top
C14,95.2246,-181.6249,0.0,top
C15,96.7406,-180.3549,0.0,top
C16,36.3996,-190.7629,180.0,top
C17,46.101,-137.287,0.0,top
C18,46.101,-138.176,0.0,top
C19,49.022,-144.78,90.0,top
C2,115.57,-140.089,90.0,top
C20,53.086,-144.78,90.0,top
C21,38.08835,-188.19805,90.0,top
C22,45.847,-135.255,0.0,top
C23,43.18,-135.001,0.0,top
C24,43.053,-144.018,180.0,top
C25,46.736,-140.208,0.0,top
C26,46.99,-144.78,90.0,top
C27,48.006,-144.78,90.0,top
C28,50.038,-144.78,90.0,top
C29,51.054,-144.78,90.0,top
C3,84.836,-158.115,90.0,top
C30,52.07,-144.78,90.0,top
C31,54.102,-144.78,90.0,top
C32,55.118,-144.78,90.0,top
C33,56.134,-144.78,90.0,top
C34,108.585,-136.525,270.0,top
C35,112.649,-139.962,0.0,top
C36,112.649,-141.232,0.0,top
C37,107.315,-136.525,90.0,top
C38,99.06,-142.24,90.0,top
C39,35.8251,-177.0559,0.0,top
C4,120.65,-140.597,270.0,top
C40,123.868074,-174.841926,0.0,top
C41,41.51735,-191.6079,180.0,top
C42,39.61235,-191.6079,180.0,top
C43,54.864,-136.271,90.0,top
C44,49.784,-132.207,90.0,top
C45,54.864,-128.905,180.0,top
C46,54.864,-130.175,180.0,top
C47,61.722,-137.795,90.0,top
C48,61.722,-142.24,90.0,top
C49,52.578,-132.207,270.0,top
C5,97.79,-142.24,90.0,top
C50,51.308,-132.207,270.0,top
C51,55.372,-138.938,180.0,top
C52,111.49,-161.83,0.0,top
C53,111.49,-163.1,180.0,top
C54,78.74,-141.351,270.0,top
C55,113.03,-135.89,90.0,top
C56,87.503,-146.812,0.0,top
C57,113.03,-129.54,90.0,top
C6,97.79,-144.145,270.0,top
C7,99.1616,-177.8149,180.0,top
C8,99.1616,-180.3549,0.0,top
C9,113.185,-145.455,180.0,top
CN1,48.1746,-190.0754,270.0,top
D1,80.137,-133.858,0.0,top
D2,42.926,-131.953,0.0,top
D3,57.396,-134.747,0.0,top
D4,127.0,-170.815,0.0,top
D5,121.905,-170.815,0.0,top
D6,116.84,-170.815,0.0,top
D7,87.503,-144.907,0.0,top
D8,108.585,-126.365,0.0,top
D9,102.87,-126.365,0.0,top
DISP1,72.9996,-184.1649,0.0,top
J1,86.36,-128.62,180.0,top
L1,125.095,-130.175,0.0,top
L2,116.36,-146.725,0.0,top
L3,43.18,-137.795,270.0,top
L4,43.434,-141.859,0.0,top
L5,51.308,-129.667,180.0,top
L6,59.182,-137.795,270.0,top
L7,59.182,-142.24,270.0,top
NTC1,58.166,-132.207,270.0,top
PB1,123.683174,-184.535326,225.0,top
PB2,117.5766,-190.6419,45.0,top
PB3,117.5766,-178.428752,225.0,top
PB4,111.470026,-184.535326,45.0,top
PB5,68.834,-137.541,0.0,top
Q1,127.0,-166.37,180.0,top
Q2,121.92,-166.37,180.0,top
Q3,116.84,-166.37,180.0,top
Q4,128.524,-152.662,0.0,top
Q5,109.855,-129.54,90.0,top
Q6,104.775,-129.54,90.0,top
Q7,99.695,-129.54,90.0,top
R1,115.062,-141.613,180.0,top
