Designator,Footprint,Quantity,Value,LCSC Part #
C43,C_0603,1,1uF,C15849
"C44, C55, C69, C70",C_0603,4,100nF,C14663
"C45, C47",C_0402,2,100pF,C1546
C54,C_0805,1,10uF,C440198
"C66, C67",C_0402,2,220pF,C1530
CN1,SMD_3.5mm_Audio_Connectors_(Headphones)_C707223,1,PJ-316C-6A,C707223
DISP1,3x7-seg_LED-RED_C2913084,1,SLS0563DRA1GD,C2913084
"J1, J2",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
J10,PinHeader_1x02_P1.00mm_Vertical,1,Conn_01x02,
"PB1, PB2, PB4, PB5",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,4,"Tactile Button, 160gf",C318884
"R38, R39",R_0402,2,10kΩ,C25744
"R40, R41",R_0805,2,100kΩ,C149504
R43,R_0402,1,1MΩ,C26083
TP1,PinHeader_1x01_P1.00mm_Vertical,1,TestPoint,
"TP47, TP49, TP56, TP57, TP63, TP64, TP66, TP67, TP85",TestPoint_Pad_D1.0mm,9,TestPoint,
"TST-R14, TST-R16, TST-R18, TST-R20, TST-R21, TST-R26, TST-R27",R_0603,7,0Ω,C21189
U11,digital tube drivers_c2962580,1,TM1637,C2962580
U15,MAX98357AETE+T_C910544,1,MAX98357AETE+T,
"U16, U17",ICS-43434_C5656610,2,ICS-43434,C5656610
