Designator,Mid X,Mid Y,Rotation,Layer
C43,148.082,-143.51,180.0,top
C44,148.082,-146.05,0.0,top
C45,144.145,-147.32,0.0,top
C47,145.661,-146.05,0.0,top
C54,85.32,-156.458,180.0,top
C55,87.00875,-153.89315,90.0,top
C66,90.43775,-157.303,180.0,top
C67,88.53275,-157.303,180.0,top
C69,84.7455,-142.751,0.0,top
C70,172.788474,-140.537026,0.0,top
CN1,97.095,-155.7705,270.0,top
DISP1,121.92,-149.86,0.0,top
PB1,166.497,-144.123852,225.0,top
PB2,160.390426,-150.230426,45.0,top
PB4,172.603574,-150.230426,225.0,top
PB5,166.497,-156.337,45.0,top
R38,146.685,-144.78,0.0,top
R39,146.685,-147.32,0.0,top
R40,101.5492,-142.621,90.0,top
R41,92.9386,-142.4686,270.0,top
R43,85.725,-150.495,0.0,top
TST-R14,148.082,-142.24,0.0,top
TST-R16,84.05,-152.013,90.0,top
TST-R18,85.5605,-153.815,90.0,top
TST-R20,84.7455,-144.021,180.0,top
TST-R21,172.788474,-143.077026,180.0,top
TST-R26,84.7455,-141.481,180.0,top
TST-R27,172.788474,-141.807026,180.0,top
U11,147.955,-154.08,0.0,top
U15,89.765,-154.553,180.0,top
U16,88.57625,-142.116,0.0,top
U17,176.619224,-141.172026,0.0,top
